PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
mitochondrion,peroxisome	oxidation-reduction process	3-keto sterol reductase activity,carbonyl reductase (NADPH) activity,identical protein binding	Q8WNV7	DHRS4	Dehydrogenase/reductase SDR family member 4	NaN	NaN	2.69621E+07	1.073103E+07	5.09301E+07	5.35001E+07	NaN	NaN	11	11	11	11
;;nucleus,nucleolus,cytoplasm,chromatoid body	;;spermatid development,tRNA methylation,meiotic cell cycle checkpoint,hair follicle maturation	;;tRNA binding,tRNA (cytosine-5-)-methyltransferase activity	A0A5G2QRK5;A0A5G2QSP5;F1S0R7	NSUN2	NOL1/NOP2/Sun domain family member 2	NaN	NaN	145163	445455.4	1170466	77208.67	NaN	NaN	3	3	3	3
;;nucleus	;;regulation of transcription, DNA-templated	;;DNA binding,transcription factor activity, sequence-specific DNA binding	A0A286ZWB0;A0A287AJL6;A0A287AVH0	CREB1	Cyclic AMP-responsive element-binding protein 1 isoform B;cAMP responsive element binding protein 1;cAMP responsive element binding protein 1	NaN	NaN	3.829043E+07	6.930384E+09	3.577372E+07	NaN	NaN	NaN	2	2	2	NaN
intracellular;;;;	lipid catabolic process,intracellular signal transduction;;;;	phosphatidylinositol phospholipase C activity,signal transducer activity,calcium ion binding;;;;	A0A287A266;A0A287AW05;A0A287B1F3;A0A287BIJ7;F1SBL0	PLCB4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	NaN	NaN	41797.45	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;nucleolus,mitochondrial inner membrane,mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone),myelin sheath,plasma membrane succinate dehydrogenase complex	;;tricarboxylic acid cycle,succinate metabolic process,mitochondrial electron transport, succinate to ubiquinone,nervous system development,anaerobic respiration,respiratory electron transport chain,oxidation-reduction process	;;protein binding,succinate dehydrogenase (ubiquinone) activity,electron carrier activity,flavin adenine dinucleotide binding	A0A5G2Q7D7;A0A5G2QMG3;Q0QF01	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	NaN	NaN	3229798	8302965	7291294	1.431515E+07	NaN	NaN	9	9	9	9
;;;	proteolysis;;;	peptidase activity;;;	A0A287A826;A0A287ANN1;A0A287AWN4;F1SS80	ADAMTSL4	ADAMTS like 4	NaN	NaN	4736760	NaN	1618785	3539155	NaN	NaN	1	NaN	1	1
cytoplasm;;;	peptidyl-tyrosine dephosphorylation;;;	protein tyrosine phosphatase activity;;;	A0A287AQB6;A0A480ERB4;A0A5G2QDD3;A0A5G2RBQ6	PTPN11	Protein tyrosine phosphatase non-receptor type 11;Tyrosine-protein phosphatase non-receptor type;Tyrosine-protein phosphatase non-receptor type;Protein-tyrosine-phosphatase	NaN	NaN	4239699	NaN	3926441	2382664	NaN	NaN	2	NaN	2	2
;;	;;	;;	A0A286ZXE3;A0A5G2R231;K7GMH0	LOC100736765	Uncharacterized protein	NaN	NaN	5.854534E+07	1.535922E+07	3.823542E+07	1.696818E+07	NaN	NaN	5	5	5	5
;;nucleoplasm	;;RNA processing,response to virus	;;enzyme binding	A0A5G2QT53;A0A5G2QXJ5;I3LU51	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U like 1	NaN	NaN	883727.6	553006.4	353434.4	614471.9	NaN	NaN	3	3	3	3
;cytoskeleton;	;;	;;	A0A286ZR45;A0A287AI37;F1S8P9	ADD1	Adducin 1	NaN	NaN	1121488	125807.2	397426.3	NaN	NaN	NaN	3	3	3	NaN
extracellular space,cytoplasm	regulation of phosphorylation,cell motility,positive regulation of synapse assembly,vocalization behavior,positive regulation of cell migration involved in sprouting angiogenesis,cell-cell adhesion	receptor binding,hepatocyte growth factor binding,identical protein binding	F1S1M3	SRPX2	Sushi repeat-containing protein SRPX2	NaN	NaN	5960883	1.012958E+07	2539947	3608333	NaN	NaN	1	1	1	1
microtubule;;	cytoskeleton organization,microtubule-based process;;	GTPase activity,structural constituent of cytoskeleton,GTP binding;;	A0A287A217;A0A287A275;A0A5G2QGK1	TUBB4B	Tubulin beta 4B class IVb;Tubulin beta chain;Tubulin beta chain	NaN	NaN	9258606	1.518512E+07	6640616	1.641018E+07	NaN	NaN	2	2	2	2
;integral component of membrane;;	;metabolic process;;	;carboxylic ester hydrolase activity;;	A0A286ZLI9;A0A287A310;A0A5G2RBP2;F1SH10	NCEH1	Neutral cholesterol ester hydrolase 1	NaN	NaN	1.377608E+07	1.293943E+08	1.838739E+07	2.1618E+07	NaN	NaN	7	7	7	7
nucleus,cytoplasm;;	protein import into nucleus;;	protein transporter activity,nuclear import signal receptor activity;;	A0A287AEI6;A0A5G2Q7J1;A0A5G2QUV4	KPNA6	Importin subunit alpha	NaN	NaN	3.028179E+08	5.324403E+08	2.819203E+09	NaN	NaN	NaN	5	5	5	NaN
eukaryotic translation initiation factor 3 complex,eukaryotic 43S preinitiation complex,eukaryotic 48S preinitiation complex	formation of cytoplasmic translation initiation complex	translation initiation factor activity	A0A287ARI1	EIF3F	Eukaryotic translation initiation factor 3 subunit F	NaN	NaN	908868.9	834438.9	622984.6	778546.5	NaN	NaN	1	1	1	1
;;;;	;;;;	;;;;carbohydrate binding	A0A5G2QE07;A0A5G2QFK8;A0A5G2R7M4;F6Q8W1;K7GRV5	LGALS3	Galectin	NaN	NaN	307385.2	953559.8	NaN	NaN	NaN	NaN	1	1	NaN	NaN
;	oxidation-reduction process;	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,NAD binding;	A0A287A5I0;A0A287AM09	CTBP1	C-terminal binding protein 1	NaN	NaN	15903.38	130886.7	70965.44	NaN	NaN	NaN	2	2	2	NaN
;proteinaceous extracellular matrix,extracellular space,extracellular matrix	;	;	A0A287AGN9;F1S981	SPON1	F-spondin	NaN	NaN	1.109791E+07	NaN	2038444	1286982	NaN	NaN	2	NaN	2	2
cytoplasm,F-actin capping protein complex;;;;;actin filament,F-actin capping protein complex,sarcomere,WASH complex;	actin cytoskeleton organization,barbed-end actin filament capping;;;;;cell morphogenesis,cytoskeleton organization,regulation of lamellipodium assembly,regulation of cell morphogenesis,actin cytoskeleton organization,barbed-end actin filament capping,negative regulation of filopodium assembly;	actin binding;;;;;actin binding,actin filament binding;	A0A287AP52;A0A287AXJ3;A0A288CG52;A0A5G2RIJ3;A0A5K1U188;A0PFK7;A9XFX6	CAPZB	F-actin-capping protein subunit beta	NaN	NaN	2233736	5772332	2873529	7127846	NaN	NaN	2	2	2	2
;chromatin,nucleoplasm,cytoplasm,mitochondrion,cytosol,synaptic vesicle,COP9 signalosome	;protein deneddylation,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,protein deubiquitination,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,regulation of JNK cascade,positive regulation of sequence-specific DNA binding transcription factor activity,regulation of cell cycle,regulation of IRE1-mediated unfolded protein response,exosomal secretion	;metalloendopeptidase activity,thiol-dependent ubiquitin-specific protease activity,enzyme binding,macrophage migration inhibitory factor binding	A0A287A976;F2Z540	COPS5	COP9 signalosome subunit 5	NaN	NaN	397093.9	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;proteasome complex,cytoplasm,proteasome activator complex	;;positive regulation of endopeptidase activity,regulation of proteasomal protein catabolic process,regulation of G1/S transition of mitotic cell cycle	;;endopeptidase activator activity	A0A480F3K2;A0A5G2QE76;Q64L94	PSME1	Proteasome activator complex subunit 1	NaN	NaN	1.351611E+07	4183362	409080.9	4667900	NaN	NaN	6	6	6	6
;	;	;	A0A287AFH8;A0A287BPH6	LMO7	LIM domain 7	NaN	NaN	1.082178E+07	6075369	3589688	1.537236E+07	NaN	NaN	13	13	13	13
			A0A286ZPY1	AHNAK	AHNAK nucleoprotein	NaN	NaN	2.063851E+07	9307029	419083.8	3667194	NaN	NaN	3	3	3	3
;;	;;	;nucleic acid binding;	A0A287ATL7;A0A287B6W8;F1S9D1	ACIN1	Apoptotic chromatin condensation inducer 1	NaN	NaN	3616015	7705418	1809744	2553681	NaN	NaN	4	4	4	4
proteinaceous extracellular matrix,extracellular matrix	cell adhesion		Q29116	TNC	Tenascin	NaN	NaN	1.132803E+07	4.687843E+07	NaN	9457069	NaN	NaN	24	24	NaN	24
;cytoplasm,microtubule	;cytoskeleton organization,microtubule-based process	;GTPase activity,structural constituent of cytoskeleton,protein binding,GTP binding	F2Z5B2;Q767L7	TUBB	Tubulin beta chain	NaN	NaN	1.207343E+07	7901700	1.194672E+07	1.25042E+07	NaN	NaN	5	5	5	5
;;intermediate filament	;;	;;structural molecule activity	A0A287AE06;A0A480NRZ3;F1RLQ2	LMNA	Lamin isoform A;Lamin isoform A;Prelamin-A/C	NaN	NaN	98691.99	690346.4	1986788	4.107143E+08	NaN	NaN	5	5	5	5
			A0A286ZHV7	HSPG2	Heparan sulfate proteoglycan 2	NaN	NaN	1.982474E+07	1.641189E+07	3860360	1.081699E+07	NaN	NaN	1	1	1	1
		RNA binding	F1RG16	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	NaN	NaN	6668970	1958332	9700600	1.042406E+07	NaN	NaN	1	1	1	1
;	;	;	A0A287B8M8;F1RVH7	IGFBP7	Insulin like growth factor binding protein 7	NaN	NaN	1.695101E+08	1.608066E+07	NaN	5.075419E+07	NaN	NaN	2	2	NaN	2
			A0A286ZLN2	FBLN1	Fibulin-1	NaN	NaN	4214887	433787.2	1.780743E+07	1.302194E+07	NaN	NaN	2	2	2	2
;;;;Golgi membrane,fibrillar center,endoplasmic reticulum,Golgi stack,cytosol,ER to Golgi transport vesicle membrane,perinuclear region of cytoplasm	;;;;intracellular protein transport,ER to Golgi vesicle-mediated transport,Golgi organization,transcytosis,Golgi vesicle docking,vesicle fusion with Golgi apparatus,membrane fusion	;;;;protein transporter activity,cadherin binding	A0A287AJL0;A0A287AZ09;A0A5G2QB74;A0A5G2R5V7;F1RYU9	USO1	USO1 vesicle transport factor;USO1 vesicle transport factor;General vesicular transport factor p115;USO1 vesicle transport factor;USO1 vesicle transport factor	NaN	NaN	188718.5	2925688	702212.1	NaN	NaN	NaN	4	4	4	NaN
;;;	;;;ubiquitin-dependent protein catabolic process,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,protein K48-linked deubiquitination	;;;thiol-dependent ubiquitin-specific protease activity,zinc ion binding,ubiquitin binding	A0A5G2Q6L8;A0A5G2QPU0;A0A5G2R3H5;F1SLU6	USP5	Ubiquitin carboxyl-terminal hydrolase;Ubiquitinyl hydrolase 1;Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase	NaN	NaN	1034831	736986.2	589907.3	NaN	NaN	NaN	2	2	2	NaN
;early endosome,cytosol,endosome membrane,vesicle membrane,NuRD complex	;cell proliferation,insulin receptor signaling pathway,regulation of glucose import,regulation of protein localization to plasma membrane	;identical protein binding,protein kinase B binding	A0A287AKU9;B5LX40	APPL1	Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1;Adaptor protein phosphotyrosine interaction PH domain and leucine zipper containing 1	NaN	NaN	3.827283E+07	1.90338E+07	1.403232E+07	2.708757E+07	NaN	NaN	10	10	10	10
mitochondrion	tRNA processing		F1SL15	TRMT10C	Mitochondrial ribonuclease P protein 1	NaN	NaN	1044534	660593.1	172906.7	2543547	NaN	NaN	3	3	3	3
;cytoplasm	;coenzyme A biosynthetic process,phosphorylation	;pantothenate kinase activity,ATP binding	A0A286ZVD4;I3LPY8	PANK4	4'-phosphopantetheine phosphatase	NaN	NaN	769573.6	NaN	1145450	496724.8	NaN	NaN	4	NaN	4	4
ESCRT III complex,nuclear envelope,cytosol,cytoplasmic side of plasma membrane,membrane coat,midbody	mitotic cytokinesis,cell separation after cytokinesis,posttranslational protein targeting to membrane,autophagy,vacuolar transport,mitotic metaphase plate congression,exit from mitosis,regulation of centrosome duplication,nuclear envelope reassembly,maintenance of lens transparency,viral budding via host ESCRT complex,protein homooligomerization,membrane fission,ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,negative regulation of neuron death,regulation of mitotic spindle assembly,positive regulation of viral release from host cell,negative regulation of autophagosome assembly	protein homodimerization activity,cadherin binding	F1S4Z2	CHMP4B	Uncharacterized protein	NaN	NaN	320415.9	587051.9	NaN	575091.3	NaN	NaN	3	3	NaN	3
;	;	;	A0A287AIR7;F6PUU1	DNAJA4	Uncharacterized protein	NaN	NaN	168473.8	NaN	NaN	115237.7	NaN	NaN	1	NaN	NaN	1
			I3LDM1	POSTN	Periostin	NaN	NaN	2839917	NaN	1101259	3630226	NaN	NaN	2	NaN	2	2
			A0A286ZNK4	YAP1	Yes1 associated transcriptional regulator	NaN	NaN	943220.6	50543.71	212867	2364531	NaN	NaN	1	1	1	1
nucleus,muscle tendon junction,M band,costamere	striated muscle contraction		Q0MUU2	SMPX	Small muscular protein	NaN	NaN	87469.13	2410517	7626110	1.146656E+07	NaN	NaN	2	2	2	2
;	;	;	A0A287BJ88;F2Z5H8	BTF3	Transcription factor BTF3	NaN	NaN	2350259	2647442	1.193831E+07	541381.4	NaN	NaN	3	3	3	3
;;	;;	RNA binding;;	A0A286ZPE3;A0A5G2QED5;F6Q9I4	HNRNPA1	Helix-destabilizing protein	NaN	NaN	1.177276E+07	2607789	1.531444E+07	2.943086E+07	NaN	NaN	8	8	8	8
;;;;;;Golgi apparatus	;;;;;;	;;;;;;	A0A5G2Q9Y9;A0A5G2QEN2;A0A5G2QIX3;A0A5G2QMR1;A0A5G2QMW4;A0A5G2R7J9;F1RHN1	TANGO2	Transport and golgi organization 2 homolog	NaN	NaN	327397.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;;	;;	;;	A0A286ZYX7;A0A5G2R5N5;I3L6E5	BRD4	Bromodomain containing 4	NaN	NaN	175688.3	822911.4	NaN	624548.2	NaN	NaN	2	2	NaN	2
nucleus,cytoplasm,cytosol,intermediate filament,cell-cell adherens junction,intercalated disc,catenin complex,Z disc,desmosome,protein-DNA complex,gamma-catenin-TCF7L2 complex	positive regulation of cell-matrix adhesion,desmosome assembly,signal transduction,cell migration,adherens junction assembly,regulation of cell proliferation,positive regulation of protein import into nucleus,negative regulation of blood vessel endothelial cell migration,skin development,positive regulation of angiogenesis,detection of mechanical stimulus,positive regulation of sequence-specific DNA binding transcription factor activity,cellular response to indole-3-methanol,protein localization to plasma membrane,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,regulation of heart rate by cardiac conduction,regulation of ventricular cardiac muscle cell action potential	transcription coactivator activity,signal transducer activity,structural molecule activity,protein phosphatase binding,alpha-catenin binding,cadherin binding	Q8WNW3	Jup	Junction plakoglobin	NaN	NaN	1.54291E+07	3.932926E+07	7699920	1.957693E+07	NaN	NaN	8	8	8	8
	porphyrin-containing compound biosynthetic process	porphobilinogen synthase activity,metal ion binding	A0A287BGW4	ALAD	Delta-aminolevulinic acid dehydratase	NaN	NaN	3760069	1915240	NaN	1672239	NaN	NaN	1	1	NaN	1
;extracellular space,integral component of Golgi membrane,intercellular bridge,extracellular exosome	;negative regulation of macroautophagy,cell redox homeostasis,oxidation-reduction process	;protein disulfide isomerase activity,flavin-linked sulfhydryl oxidase activity	A0A5G2QNR8;F1S682	QSOX1	Sulfhydryl oxidase	NaN	NaN	1.990369E+07	4.441581E+07	8033588	954658.7	NaN	NaN	8	8	8	8
eukaryotic translation initiation factor 3 complex,eukaryotic 43S preinitiation complex,eukaryotic 48S preinitiation complex;;;;	formation of cytoplasmic translation initiation complex;;;;	translation initiation factor activity;;;;	A0A287AL05;A0A287BK74;A0A5G2QZR0;A0A5G2R7X3;F1SKN5	EIF3L	Eukaryotic translation initiation factor 3 subunit L	NaN	NaN	1933507	5765895	NaN	NaN	NaN	NaN	2	2	NaN	NaN
nucleoplasm,cytosol,mitochondrion	2-oxoglutarate metabolic process,oxaloacetate metabolic process,glycerol biosynthetic process,aspartate metabolic process,aspartate biosynthetic process,aspartate catabolic process,glutamate metabolic process,Notch signaling pathway,glutamate catabolic process to aspartate,glutamate catabolic process to 2-oxoglutarate,cellular response to insulin stimulus,response to glucocorticoid,fatty acid homeostasis	L-aspartate:2-oxoglutarate aminotransferase activity,phosphatidylserine decarboxylase activity,pyridoxal phosphate binding,L-cysteine:2-oxoglutarate aminotransferase activity	P00503	GOT1	Aspartate aminotransferase, cytoplasmic	NaN	NaN	834310	2733886	3189630	4039709	NaN	NaN	9	9	9	9
;;nucleoplasm,cytoplasm,SCF ubiquitin ligase complex	;;protein polyubiquitination,protein monoubiquitination,positive regulation of autophagy,protein destabilization,negative regulation of NF-kappaB transcription factor activity,negative regulation of viral transcription,response to interferon-gamma,positive regulation of cell cycle,positive regulation of viral entry into host cell,positive regulation of sequence-specific DNA binding transcription factor activity,protein autoubiquitination,protein trimerization,negative regulation of protein deubiquitination,negative regulation of viral release from host cell	;;ubiquitin-protein transferase activity,zinc ion binding,identical protein binding	A0A5G2QC44;A0A5G2QPD5;F1RHN8	TRIM21	RING-type E3 ubiquitin transferase	NaN	NaN	974906.7	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;cytosol,cell-cell adherens junction,centriolar satellite,keratin filament,cell periphery	;tumor necrosis factor-mediated signaling pathway,Golgi to plasma membrane CFTR protein transport,negative regulation of apoptotic process,intermediate filament cytoskeleton organization,extrinsic apoptotic signaling pathway,hepatocyte apoptotic process,cell-cell adhesion	;structural molecule activity,scaffold protein binding,cadherin binding involved in cell-cell adhesion	A0A5G2RBD3;F1SGG1	KRT18	Keratin 18	NaN	NaN	2323790	8352160	1.139712E+07	8227701	NaN	NaN	2	2	2	2
		calcium ion binding,GTP binding	A0A287B1T2	EHD3	EH domain containing 3	NaN	NaN	1.073558E+07	5312370	4710377	1926502	NaN	NaN	5	5	5	5
Swr1 complex,Ino80 complex,NuA4 histone acetyltransferase complex,R2TP complex;	box C/D snoRNP assembly,DNA repair,DNA recombination,chromatin remodeling,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,histone acetylation,DNA duplex unwinding;	ATP-dependent DNA helicase activity,ATP binding,ATP-dependent 5'-3' DNA helicase activity;	F1SPF6;I3L742	RUVBL1	RuvB-like helicase	NaN	NaN	453617.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
plasma membrane,integral component of membrane	homophilic cell adhesion via plasma membrane adhesion molecules,cell surface receptor signaling pathway,G-protein coupled receptor signaling pathway	G-protein coupled receptor activity,calcium ion binding	A0A287AEM7	CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2	NaN	NaN	5000011	1.164238E+07	9074102	2642917	NaN	NaN	1	1	1	1
;;;;	electron transport chain;;;;	electron carrier activity,flavin adenine dinucleotide binding;;;;	A0A286ZRJ3;A0A287A4T2;A0A5G2QQV0;A0A5G2QRE7;A0A5G2QUW1	ETFA	Electron transfer flavoprotein subunit alpha	NaN	NaN	4745576	2262277	738226.3	5091820	NaN	NaN	4	4	4	4
;;;cytosol	;;;dephosphorylation,regulation of microtubule polymerization,regulation of neurogenesis	;;;tubulin binding,pyrophosphatase activity,phosphatase activity	A0A287A2Z1;A0A5G2Q9P0;A0A5G2QH08;F1SS99	PRUNE1	Prune exopolyphosphatase 1	NaN	NaN	6400665	NaN	5260645	896489.4	NaN	NaN	3	NaN	3	3
;nucleosome,nucleus	;nucleosome assembly,regulation of transcription, DNA-templated,heterochromatin organization	;DNA binding,chromatin binding	A0A287BD17;F1SU06	HP1BP3	Heterochromatin protein 1-binding protein 3	NaN	NaN	641225.3	1297441	1133107	461078.6	NaN	NaN	3	3	3	3
;;;	;;;	;;calcium ion binding;	A0A5G2QMP2;A0A5G2RCU5;F1SAS0;I3LK64	NINL	Ninein like	NaN	NaN	2427956	1.055712E+07	4333963	1046742	NaN	NaN	1	1	1	1
;sarcoglycan complex,integral component of membrane	;	;	A0A5K1VFF8;B8Y4S5	SGCD	Sarcoglycan delta	NaN	NaN	710607.1	1303353	963272.9	342293.2	NaN	NaN	4	4	4	4
nucleoplasm,nuclear euchromatin,perichromatin fibrils,cytoplasm	negative regulation of cell proliferation,protein ubiquitination,protein catabolic process,regulation of protein stability,regulation of apoptotic process,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,protein autophosphorylation,calcium ion homeostasis,regulation of vitamin D receptor signaling pathway,cellular response to estrogen stimulus,regulation of signal transduction by p53 class mediator	p53 binding,chromatin binding,transcription coactivator activity,protein kinase activity,zinc ion binding,ligand-dependent nuclear receptor binding,estrogen response element binding,ubiquitin protein ligase activity,lysine-acetylated histone binding	F1SNJ6	TRIM24	Transcription intermediary factor 1-alpha isoform X1	NaN	NaN	4373581	3463421	3785018	201514	NaN	NaN	1	1	1	1
;;;cell-cell junction,nuclear speck,exon-exon junction complex,catalytic step 2 spliceosome	;;;cell adhesion	;;;	A0A286ZVE3;A0A287AI71;A0A5G2R3S3;F1SIQ0	PNN	Pinin	NaN	NaN	360714.3	NaN	NaN	80687.88	NaN	NaN	1	NaN	NaN	1
;	;	;	A0A286ZJL8;A0A5G2R2L7	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	NaN	NaN	321392	879676.4	267496.2	3931.045	NaN	NaN	4	4	4	4
;;;;;phenylalanine-tRNA ligase complex	;;;;;phenylalanyl-tRNA aminoacylation	;;;;;magnesium ion binding,RNA binding,ATP binding,phenylalanine-tRNA ligase activity	A0A5G2QCB3;A0A5G2QMT5;A0A5G2QXM5;A0A5G2RG03;F1SR70;I3LUM8	FARSB	Phenylalanyl-tRNA synthetase beta subunit	NaN	NaN	5854740	1613256	NaN	795707.4	NaN	NaN	3	3	NaN	3
;;;;;;;;;	;;microtubule cytoskeleton organization,protein phosphorylation,establishment of cell polarity;;;;;;;microtubule cytoskeleton organization,protein phosphorylation,establishment of cell polarity	;;protein serine/threonine kinase activity,ATP binding;;;;;;;protein serine/threonine kinase activity,ATP binding	A0A287A4B3;A0A287ACD4;A0A287BEB6;A0A5G2QUI4;A0A5G2RL84;F1RPY5;F1S9J0;I3L5P6;I3L7Z9;I3LBZ2	MARK2;MARK2;MARK4;MARK4;MARK4;MARK2;MARK1;MARK4;MARK2;MARK1	Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Microtubule affinity regulating kinase 4;Microtubule affinity regulating kinase 4;Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Microtubule affinity regulating kinase 4;Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase	NaN	NaN	1.208455E+07	NaN	2104117	9214840	NaN	NaN	1	NaN	1	1
;;;;nucleoplasm,nucleolus,cytosol,macromolecular complex	;;;;mRNA processing,regulation of translation,circadian rhythm,RNA splicing,positive regulation of gene expression,circadian regulation of gene expression,entrainment of circadian clock by photoperiod	;;;RNA binding,zinc ion binding;RNA binding,zinc ion binding	A0A287ARM4;A0A5G2Q937;A0A5S6HMS9;F1RUT1;Q06AT9	RBM14;RBM4B;RBM4B;RBM14;RBM4B	RNA binding motif protein 14;RNA-binding protein 4B;RNA-binding protein 4B;RNA binding motif protein 14;RNA-binding protein 4B	NaN	NaN	259110.9	456015.5	303922.5	324971.9	NaN	NaN	1	1	1	1
;;extracellular region,nucleoplasm,nucleolus,mitochondrion,intracellular ribonucleoprotein complex	;;protein phosphorylation,negative regulation of translation,negative regulation of viral genome replication,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated	;;DNA binding,double-stranded RNA binding	A0A5G2QZ85;K7GL83;K7GP99	ILF3	Interleukin enhancer binding factor 3	NaN	NaN	9651814	97573.98	NaN	1.208953E+07	NaN	NaN	3	3	NaN	3
;Golgi membrane,cytosol,COPII vesicle coat	;neural tube closure,outflow tract morphogenesis,intracellular protein transport,cochlear nucleus development,aorta morphogenesis,auditory receptor cell stereocilium organization,lung lobe morphogenesis,coronary artery morphogenesis,pulmonary artery morphogenesis,cargo loading into COPII-coated vesicle,regulation of establishment of planar polarity involved in neural tube closure,regulation of cargo loading into COPII-coated vesicle	;zinc ion binding	A0A287B3X9;F1S129	SEC24B	Protein transport protein Sec24B isoform b;Protein transport protein Sec24B isoform a	NaN	NaN	1429713	NaN	8195.691	9016205	NaN	NaN	3	NaN	3	3
;membrane;;;;;;;	;regulation of cell shape;;;;;;;	;;;;;;;;	A0A286ZTZ2;A0A286ZVZ8;A0A287A477;A0A287A9A1;A0A287AC94;A0A287AHJ5;A0A287AMX5;A0A287AT38;F1SP07	PALM2AKAP2	AKAP2_C domain-containing protein;Uncharacterized protein;AKAP2_C domain-containing protein;AKAP2_C domain-containing protein;AKAP2_C domain-containing protein;AKAP2_C domain-containing protein;AKAP2_C domain-containing protein;AKAP2_C domain-containing protein;Uncharacterized protein	NaN	NaN	1922745	3084310	6945900	214778.5	NaN	NaN	5	5	5	5
membrane	leukocyte differentiation,signal transduction,negative regulation of cell migration,positive regulation of angiogenesis,regulation of protein kinase B signaling,face morphogenesis,regulation of ERK1 and ERK2 cascade	GTPase activity,GTP binding,GDP binding	F1RHW4	RRAS	RAS related	NaN	NaN	61933.13	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;nucleoplasm,nucleolus	;	;RNA binding	A0A287B5F5;I3L5X7	RBM3	RRM domain-containing protein	NaN	NaN	1.02091E+07	229777.2	7283717	6278653	NaN	NaN	1	1	1	1
;;;	;;;	RNA binding;;;	A0A286ZKW2;A0A5G2QSW0;A0A5G2QYA0;F1RN28	PSPC1	Paraspeckle component 1	NaN	NaN	770295.6	2400645	901886.8	817671.8	NaN	NaN	2	2	2	2
;;	RNA processing,mRNA catabolic process;;	RNA binding,polyribonucleotide nucleotidyltransferase activity;;	A0A287AMV5;A0A5G2QTX8;A0A5G2R6M2	PNPT1	Polynucleotide phosphorylase 1	NaN	NaN	969358.9	646955.4	NaN	572752.6	NaN	NaN	1	1	NaN	1
		calcium ion binding,cadherin binding	F1SUW3	CTRC	Uncharacterized protein	NaN	NaN	4.176865E+07	6405725	2.543614E+07	4.391924E+07	NaN	NaN	7	7	7	7
